parameters set ID	projectile	target	product	fit function template	E lower boundary (eV)	E upper boundary (eV)	coefficients	relative RMS	author	title	year
26	H3+	H2	H+	CHEB	120	1800000	-75.3369, 1.74367, -0.759749, -0.559135, 0.0918355, 0.0438106, -0.0940811	0.034	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
27	H3+	H2	H+	TAB2_1_3	14.8	115000	11, 0.667, 1.35, 0.0442, 0.71, 0.000067, 1.54, 11, -0.1	0.18	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
28	H3+	H2	H	CHEB	4500	1800000	-71.5391, -1.05347, -0.826342, 0.203507, 0.053614, -0.0425785, -0.0185315	0.018	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
29	H3+	H2	H	TAB2_1_3	54	119000	15.5, 0.589, 1, 0.025, 1.5, 0.0405, 0.759, 46.4, 1.1	0.059	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
30	H3+	H2	H2+	CHEB	330	1800000	-75.4231, 0.295854, -0.985779, -0.076236, 0.0980699, -0.0248092, -0.0512818	0.024	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
31	H3+	H2	H2+	TAB2_1_3	54	117000	15.5, 0.503, 1, 0.025, 2, 0.117, 0.318, 94, 1.35	0.1	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
32	H3+	H2	H2	CHEB	91	1800000	-74.8168, -0.899995, -1.57067, -0.379862, 0.384429, 0.264557, 0.0263143	0.041	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
33	H3+	H2	H2	TAB2_1_3	54	118000	0, 37.8, 1, 0.002, 0.25, 0.0414, 0.625, 48.9, 1.69	0.039	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
34	H3+	H2	H3+	CHEB	4800	110000	-70.3701, 0.284601, -0.184305, -0.042567, -0.00921848, 0.00698594, 0.00725332	0.003	C. F. Barnett	Atomic Data for Fusion Volume 1: Collisions of H, H2, He and Li Atoms and Ions with Atoms and Molecules	1990
35	H3+	H2	H3+	TAB2_1_3	54	100000	15.5, 320, 1, 0.00037, 0.25, 0.117, 0.537, 76.8, 1.59	0.041	T. Tabata	The Collected Works of Tatsuo Tabata Volume 17: Atomic and Molecular Collision Cross Sections (2)	2018
